class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.25952,6.53947,25.0,1950.0,1995-07-04,7.0,1995,2473682.0,HENRY Pierre-Yves;GAZAVE Elodie,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Tétras lyre,True,Périmètre De Protection De La Réserve Naturelle De Géologique De Digne Les Bains; Unesco Global Geoparc De Haute-Provence,Géoparcs mondiaux UNESCO; Périmètre de protection d’une réserve naturelle nationale,geoparc; pprnn,IV,10kmL93E098N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,1780.0,2005-01-04,1.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,2474.0,2005-10-23,10.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1848.0,2005-10-23,10.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.29173,6.91786,250.0,1870.0,2004-03-22,3.0,2004,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1900.0,2004-02-10,2.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.25331,6.72713,25.0,2107.0,1984-11-02,11.0,1984,5227679.0,ORSINI Philippe,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Lagopède alpin,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E099N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.24899,6.85222,25.0,1850.0,2004-11-28,11.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1840.0,2004-01-10,1.0,2004,2474055.0,AUTRAN Sébastien;AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.15688,6.90856,25.0,2260.0,2005-08-15,8.0,2005,2474055.0,AUTRAN Gérard,20,20.0,Surfaces minérales naturelles,Natural mineral surfaces,Perdrix bartavelle,True,Mercantour [Aire D'Adhésion],"Parc national, aire d'adhésion",pn,V,10kmL93E101N634
