class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,geometry,oso_2024,code,label_fr,label_en
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.14531,7.22067,250.0,1973.0,2018-10-13,10.0,2018,2473682.0,ZAETTA Christian,POINT (7.22067 44.14531),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.63774,5.93225,25.0,1670.0,2018-05-22,5.0,2018,2473682.0,CORAIL Marc,POINT (5.93225 44.63774),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.48022,6.67916,250.0,2047.0,2018-05-20,5.0,2018,2473682.0,BELLEAU Eric,POINT (6.67916 44.48022),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67014,6.37585,25.0,2095.0,2018-05-17,5.0,2018,2473682.0,CORAIL Marc,POINT (6.37585 44.67014),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.71889,6.2524,25.0,2150.0,2018-05-11,5.0,2018,2473682.0,CORAIL Marc,POINT (6.2524 44.71889),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.62894,6.24721,25.0,1850.0,2018-10-06,10.0,2018,2473682.0,CORAIL Marc,POINT (6.24721 44.62894),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.31413,6.22917,25.0,1687.0,2018-05-18,5.0,2018,2473682.0,FERRIEUX Thibaut,POINT (6.22917 44.31413),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.88905,6.57919,25.0,2242.0,2018-04-27,4.0,2018,2473682.0,PETELLAZ Audric,POINT (6.57919 44.88905),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.70075,6.81996,25.0,2278.0,2018-12-26,12.0,2018,2473682.0,COHENDOZ Stéphane,POINT (6.81996 44.70075),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.34323,6.73305,250.0,1972.0,2018-12-27,12.0,2018,2473682.0,BELLEAU Eric,POINT (6.73305 44.34323),20,20,Surfaces minérales naturelles,Natural mineral surfaces
