species,vernacularName_fr
Turdus auritus,
Corvus albus,Corbeau pie
Corvus antecorax,
Corvus brachyrhynchos,Corneille d'Amérique
Corvus corax,Grand corbeau
Corvus corone,Corneille noire
Corvus cornix,
Corvus sardonius,
Corvus sharpii,
Corvus dauuricus,Choucas de Daourie
Corvus frugilegus,Corbeau freux
Corvus monedula,Choucas des tours
Coelus monedula,
Coloeus monedula,
Corvus Soemmerringii,
Corvus spermologus,
Corvus moneduloides,Corbeau calédonien
Corvus pliocaenus,
Numenius pliocaenus,
Corvus splendens,"Corbeau familier, Corneille de l'Inde"
Cyanocitta cristata,Geai bleu
Corvus cristatus,
Cyanocorax cayanus,Geai de Cayenne
Corvus cayanus,
Cyanopica cooki,Pie bleue ibérique
Cyanopica cyanus,Pie bleue
Corvus cyanus,
Cyanopica cyanea,
Garrulus glandarius,Geai des chênes
Corvus glandarius,
Nucifraga caryocatactes,"Cassenoix moucheté, Casse-noix"
Corvus caryocatactes,
Nucifraga macrorhynchos,
Perisoreus canadensis,Mésangeai du Canada
Corvus canadensis,
Pica pica,Pie bavarde
Corvus pica,
Pica galliae,
Pyrrhocorax graculus,Chocard à bec jaune
Coracia gracula,
Corvus graculus,
Pyrrhocorax pyrrhocorax,Crave à bec rouge
Coracia erythroramphos,
Coracia pyrrhocorax,
Upupa pyrrhocorax,
Pyrrhocorax alpinus,
Cotinga cayana,Cotinga de Cayenne
Ampelis cayana,
Cotinga cotinga,Cotinga de Daubenton
Ampelis Cotinga,
Gymnoderus foetidus,Coracine à col nu
Gracula foetida,
Haematoderus militaris,Coracine rouge
Coracias militaris,
Lipaugus vociferans,Piauhau hurleur
Muscicapa vociferans,
Perissocephalus tricolor,Coracine chauve
Corvus tricolor,
Phoenicircus carnifex,Cotinga ouette
Lanius carnifex,
Procnias albus,Araponga blanc
Ampelis alba,
Procnias alba,
Querula purpurata,Coracine noire
Muscicapa purpurata,
Rupicola rupicola,"Coq-de-roche orange, Coq de roche"
Pipra Rupicola,
Xipholena punicea,Cotinga pompadour
Turdus puniceus,
Dicrurus waldenii,Drongo de Mayotte
Donacobius atricapilla,"Donacobe à miroir, Troglodyte à miroir"
Donacobius atricapillus,
Turdus atricapilla,
Ammodramus humeralis,Bruant des savanes
Myospiza humeralis,
Tanagra humeralis,
Ammodramus savannarum,Bruant sauterelle
Fringilla savannarum,
Amphispiza bilineata,Bruant à gorge noire
Emberiza bilineata,
Chondestes grammacus,Bruant à joues marron
Fringilla grammaca,
Emberiza aureola,Bruant auréole
Emberiza bruniceps,Bruant à tête rousse
Granativora bruniceps,
Emberiza caesia,Bruant cendrillard
Emberiza calandra,Bruant proyer
Miliaria calandra,
Emberiza chrysophrys,Bruant à sourcils jaunes
Emberiza cia,Bruant fou
Emberiza cirlus,Bruant zizi
Emberiza citrinella,Bruant jaune
Emberiza elegans,Bruant élégant
Emberiza hortulana,Bruant ortolan
Emberiza leucocephalos,Bruant à calotte blanche
Emberiza leucocephala,
Emberiza melanocephala,Bruant mélanocéphale
Euspiza melanocephala,
Emberiza pusilla,Bruant nain
Schoeniclus pusillus,
Emberiza rustica,Bruant rustique
Emberiza rutila,Bruant roux
Schoeniclus rutilus,
Emberiza schoeniclus,Bruant des roseaux
Fringilla schoeniclus,
Schoeniclus schoeniclus,
Emberiza spodocephala,Bruant masqué
Schoeniclus spodocephala,
Pooecetes gramineus,
Fringilla graminea,
Spizella pallida,Bruant des plaines
Emberiza pallida,
Spizella passerina,Pinson familier
Fringilla passerina,
Spizella pusilla,Bruant des champs
Fringilla pusilla,
Amadina fasciata,Amadine cou-coupé
Loxia fasciata,
Amandava amandava,"Bengali des Indes, Bengali rouge"
Fringilla Amandava,
Amandava subflava,Bengali zébré
Fringilla subflava,
Erythrura psittacea,"Diamant psittaculaire, Cardinal de Nouméa, Pape de Nouméa"
Fringilla psittacea,
Erythrura trichroa,Diamant de Kittlitz
Fringilla trichroa,
Erythrura cyanofrons,
Estrilda astrild,"Astrild bec de corail, Astrild ondulé"
Loxia astrild,
Estrilda melpoda,Astrild à joues orange
Fringilla melpoda,
Estrilda troglodytes,"Astrild cendré, Astrild troglodyte"
Fringilla Troglodytes,
Euodice cantans,Capucin à bec d'argent
Loxia cantans,
Euodice malabarica,Capucin bec-de-plomb
Lonchura malabarica,
Loxia malabarica,
Granatina ianthinogaster,"Cordon bleu violacé, Grenadier pourpré"
Uraeginthus ianthinogaster,
Lonchura atricapilla,Capucin à tête noire
Loxia atricapilla,
Lonchura castaneothorax,Capucin donacole
Amadina castaneothorax,
Lonchura maja,Capucin à tête blanche
Loxia Maja,
Lonchura malacca,Capucin à dos marron
Loxia malacca,
Lonchura oryzivora,Padda de Java
Loxia oryzivora,
Padda oryzivora,
Lonchura punctulata,Capucin damier
Loxia punctulata,
Neochmia temporalis,Diamant à cinq couleurs
Fringilla temporalis,
Spermestes cucullata,Capucin nonnette
Lonchura cucullata,
Taeniopygia guttata,Diamant mandarin
Fringilla guttata,
Poephila guttata,
Uraeginthus bengalus,Cordonbleu à joues rouges
Fringilla bengalus,
Formicarius analis,Tétéma coq-de-bois
Myothera analis,
Formicarius colma,Tétéma colma
Acanthis flammea,Sizerin flammé
Carduelis flammea,
Fringilla flammea,
Fringilla cabaret,
Acanthis hornemanni,Sizerin blanchâtre
Carduelis hornemanni,
Carduelis hornemannii,
Linota hornemanni,
Bucanetes githagineus,"Roselin githagine, Bouvreuil githagine"
Fringilla githaginea,
Rhodopechys githaginea,
Carduelis carduelis,Chardonneret élégant
Fringilla carduelis,
Carduelis citrinella,Venturon montagnard
Fringilla citrinella,
Serinus citrinella,
Carduelis corsicana,Venturon corse
Citrinella corsicana,
Serinus corsicana,
Serinus corsicanus,
Carpodacus erythrinus,Roselin cramoisi
Loxia erythrina,
Carpodacus roseus,Roselin rose
Fringilla rosea,
Carpodacus sibiricus,Roselin à longue queue
Loxia sibirica,
Uragus sibiricus,
Chloris chloris,Verdier d'Europe
Carduelis chloris,
Loxia chloris,
Coccothraustes coccothraustes,Grosbec casse-noyaux
Loxia Coccothraustes,
Crithagra mozambica,Serin du Mozambique
Fringilla mozambica,
Serinus mozambicus,
Eophona migratoria,Grosbec migrateur
Euphonia cayennensis,Organiste nègre
Tanagra cayennensis,
Euphonia chlorotica,Organiste chlorotique
Tanagra chlorotica,
Euphonia chrysopasta,Organiste fardé
Euphonia cyanocephala,Organiste doré
Pipra cyanocephala,
Euphonia finschi,Organiste de Finsch
Euphonia minuta,Organiste cul-blanc
Euphonia musica,"Organiste louis d'or, Perruche, Avant Noël, Roi-bois"
Pipra musica,
Emberiza flavifrons,
Euphonia plumbea,Organiste plombé
Euphonia violacea,Organiste téïté
Fringilla violacea,
Fringilla coelebs,Pinson des arbres
Fringilla montifringilla,"Pinson du nord, Pinson des Ardennes"
Haemorhous purpureus,Roselin pourpré
Carpodacus purpureus,
Fringilla purpurea,
Hesperiphona vespertina,Grosbec errant
Coccothraustes vespertinus,
Fringilla vespertina,
Linaria cannabina,Linotte mélodieuse
Acanthis cannabina,
Carduelis cannabina,
Fringilla cannabina,
Linaria flavirostris,Linotte à bec jaune
Carduelis flavirostris,
Fringilla flavirostris,
Loxia curvirostra,Bec-croisé des sapins
Loxia leucoptera,Bec-croisé bifascié
Crucirostra bifasciata,
Loxia pytyopsittacus,Bec-croisé perroquet
Pinicola enucleator,Durbec des sapins
Loxia Enucleator,
Pyrrhula pyrrhula,Bouvreuil pivoine
Emberiza coccinea,
Loxia pyrrhula,
Pyrrhula europaea,
Rhodopechys obsoleta,Roselin de Lichtenstein
Fringilla obsoleta,
Serinus canaria,Serin des Canaries
Fringilla Canaria,
Serinus canicollis,Serin du Cap
Crithagra canicollis,
Serinus serinus,Serin cini
Carduelis serinus,
Fringilla serinus,
Spinus pinus,"Tarin des Pins, Chardonneret des pins"
Carduelis pinus,
Fringilla pinus,
Spinus spinus,Tarin des aulnes
Carduelis spinus,
Fringilla spinus,
Spinus tristis,Chardonneret jaune
Carduelis tristis,
Fringilla tristis,
Anabacerthia ruficaudata,Anabate rougequeue
Anabates ruficaudatus,
Philydor ruficaudatum,Anabate rougequeue
Philydor ruficaudatus,
Automolus infuscatus,Anabate olivâtre
Anabates infuscatus,
Philydor cervicalis,
Automolus ochrolaemus,Anabate à gorge fauve
Anabates ochrolaemus,
Anabates turdinus,
Automolus rufipileatus,Anabate à couronne rousse
Anabates rufipileatus,
Philydor consobrinus,
Berlepschia rikeri,Anabate des palmiers
Picolaptes rikeri,
Campylorhamphus procurvoides,Grimpar à bec courbe
Xiphorhynchus procurvoides,
Certhiasomus stictolaemus,Grimpar à gorge tachetée
Deconychura stictolaema,Grimpar à gorge tachetée
Sittasomus stictolaemus,
Certhiaxis cinnamomeus,Synallaxe à gorge jaune
Certhia cinnamomea,
Certhiaxis cinnamomea,
Clibanornis rubiginosus,Anabate rubigineux
Anabates rubiginosus,
Automolus rubiginosus,
Anabates obscurus,
Deconychura longicauda,Grimpar à longue queue
Dendrocincla longicauda,
Dendrexetastes rufigula,Grimpar à collier
Dendrocolaptes (orthocolaptes) rufigula,
Dendrocincla fuliginosa,Grimpar enfumé
Dendrocopus fuliginosus,
Dendrocincla merula,Grimpar à menton blanc
Dendrocolaptes Merula,
Dendrocolaptes certhia,Grimpar barré
Picus certhia,
Dendrocolaptes picumnus,Grimpar varié
Dendroplex picus,Grimpar talapiot
Oriolus picus,
Xiphorhynchus picus,Grimpar talapiot
Glyphorynchus spirurus,Grimpar bec-en-coin
Neops spirurus,
Hylexetastes perrotii,Grimpar de Perrot
Dendrocolaptes Perrotii,
Lepidocolaptes albolineatus,Grimpar lancéolé
Dendrocolaptes albo-lineatus,
Mazaria propinqua,Synallaxe à ventre blanc
Synallaxis propinqua,
Microxenops milleri,Sittine à queue rousse
Xenops milleri,Sittine à queue rousse
Nasica longirostris,Grimpar nasican
Dendrocopus longirostris,
Philydor erythrocercum,Anabate à croupion roux
Anabates erythrocercus,
Philydor erythrocercus,Anabate à croupion roux
Philydor pyrrhodes,Anabate flamboyant
Anabates pyrrhodes,
Sclerurus caudacutus,Sclérure des ombres
Thamnophilus caudacutus,
Sclerurus mexicanus,Sclérure à gorge rousse
Sclerurus rufigularis,Sclérure à bec court
Sittasomus griseicapillus,
Dendrocopus griseicapillus,
Synallaxis albescens,Synallaxe albane
Synallaxis gujanensis,Synallaxe de Cayenne
Motacilla gujanensis,
Synallaxis macconnelli,Synallaxe de McConnell
Synallaxis rutilans,Synallaxe ardent
Thripophaga gutturata,Synallaxe ponctué
Anabates gutturatus,
Certhiaxis gutturata,Synallaxe ponctué
Cranioleuca gutturata,Synallaxe ponctué
Xenops minutus,Sittine brune
Turdus minutus,
Neops ruficaudus,
Xenops rutilans,Sittine striée
Xenops tenuirostris,Sittine des rameaux
Xiphocolaptes promeropirhynchus,
Dendrocolaptes promeropirhynchus,
Xiphorhynchus guttatus,Grimpar des cabosses
Dendrocolaptes guttatus,
Xiphorhynchus obsoletus,Grimpar strié
Dendrocolaptes obsoletus,
Xiphorhynchus pardalotus,Grimpar flambé
Dendrocopus pardalotus,
Grallaria varia,Grallaire roi
Formicarius varius,
Hylopezus macularius,Grallaire tachetée
Pitta macularia,
Myrmothera campanisona,Grallaire grand-beffroi
Myrmornim campanisona,
Atticora fasciata,Hirondelle à ceinture blanche
Hirundo fasciata,
Atticora tibialis,Hirondelle à cuisses blanches
Neochelidon tibialis,Hirondelle à cuisses blanches
Petrochelidon tibialis,
Cecropis abyssinica,"Hirondelle striée, Hirondelle à gorge striée"
Hirundo abyssinica,Hirondelle à gorge striée
Cecropis daurica,Hirondelle rousseline
Hirundo daurica,
Hirundo rufula,
Delichon urbicum,Hirondelle de fenêtre
Delichon urbica,
Hirundo urbica,
Hirundo neoxena,Hirondelle messagère
Hirundo rustica,"Hirondelle rustique, Hirondelle de cheminée"
Chelidon rustica,
Hirundo tahitica,Hirondelle de Tahiti
Petrochelidon fulva,Hirondelle à front brun
Hirundo fulva,
Petrochelidon nigricans,Hirondelle des arbres
Hirundo nigricans,
Petrochelidon pyrrhonota,Hirondelle à front blanc
Hirundo pyrrhonota,Hirondelle à front blanc
Phedina borbonica,Hirondelle des Mascareignes
Hirundo borbonica,
Progne chalybea,Hirondelle chalybée
Hirundo chalybea,
Progne cryptoleuca,Hirondelle de Cuba
Progne dominicensis,"Hirondelle des églises, Hirondelle à ventre blanc"
Hirundo dominicensis,
Progne elegans,Hirondelle gracieuse
Progne subis,"Hirondelle noire, Martin pourpre, Hirondelle pourprée"
Hirundo subis,
Progne tapera,Hirondelle tapère
Hirundo Tapera,
Phaeoprogne tapera,
Hirundo fusca,
Ptyonoprogne rupestris,Hirondelle de rochers
Hirundo rupestris,
Pygochelidon cyanoleuca,Hirondelle bleu et blanc
Hirundo cyanoleuca,
Notiochelidon cyanoleuca,Hirondelle bleu et blanc
Pygochelidon melanoleuca,Hirondelle des torrents
Atticora melanoleuca,Hirondelle des torrents
Hirundo melanoleuca,
Riparia paludicola,Hirondelle paludicole
Hirundo paludicola,
Riparia riparia,Hirondelle de rivage
Hirundo riparia,
Stelgidopteryx ruficollis,Hirondelle à gorge rousse
Hirundo ruficollis,
Stelgidopteryx serripennis,Hirondelle à ailes hérissées
Hirundo serripennis,
Tachycineta albiventer,Hirondelle à ailes blanches
Hirundo albiventer,
Tachycineta bicolor,Hirondelle bicolore
Hirundo bicolor,
Agelaius phoeniceus,Carouge à épaulettes
Oriolus phoeniceus,
Agelasticus cyanopus,Carouge unicolore
Agelaius cyanopus,
Chrysomus cyanopus,
Cacicus cela,Cassique cul-jaune
Parus cela,
Cacicus haemorrhous,Cassique cul-rouge
Oriolus haemorrhous,
Chrysomus icterocephalus,Carouge à capuchon
Agelaius icterocephalus,
Oriolus ictero-cephalus,
Chrysomus ruficapillus,Carouge à calotte rousse
Agelaius ruficapillus,
Dolichonyx oryzivorus,"Goglu des prés, Bobolink"
Fringilla oryzivora,
Euphagus carolinus,"Quiscale rouilleux, Mainate rouilleux"
Turdus Carolinus,
Gymnomystax mexicanus,Carouge loriot
Oriolus mexicanus,
Icteria virens,
Turdus virens,
Icterus bonana,"Oriole de Martinique, Carouge"
Oriolus Bonana,
Icterus cayanensis,Oriole à épaulettes
Oriolus cayanensis,
Icterus chrysocephalus,
Oriolus chrysocephalus,
Icterus galbula,"Oriole de Baltimore, Oriole du Nord"
Coracias galbula,
Icterus nigrogularis,Oriole jaune
Xanthornus nigrogularis,
Icterus spurius,Oriole des vergers
Oriolus spurius,
Molothrus ater,Vacher à tête brune
Oriolus ater,
Molothrus bonariensis,Vacher luisant
Tanagra bonariensis,
Molothrus oryzivorus,Vacher géant
Oriolus oryzivorus,
Scaphidura oryzivora,Vacher géant
Psarocolius decumanus,Cassique huppé
Xanthornus decumanus,
Psarocolius viridis,Cassique vert
Oriolus viridis,
Quiscalus lugubris,"Quiscale merle, Merle François, Crédit, Cancangnan"
Quiscalus guadeloupensis,
Quiscalus quiscula,"Quiscale bronzé, Mainate bronzé"
Gracula quiscula,
Sturnella magna,Sturnelle des prés
Alauda magna,
Sturnella militaris,Sturnelle militaire
Leistes militaris,Sturnelle militaire
Sturnus militaris,
Xanthocephalus xanthocephalus,Carouge à tête jaune
Icterus xanthocephalus,
Lanius collurio,Pie-grièche écorcheur
Lanius cristatus,Pie-grièche brune
Lanius excubitor,Pie-grièche grise
Lamira excubitor,
Lanius homeyeri,
Lanius isabellinus,Pie-grièche isabelle
Lanius meridionalis,Pie-grièche méridionale
Lanius minor,Pie-grièche à poitrine rose
Lanius nubicus,Pie-grièche masquée
Lanius phoenicuroides,Pie-grièche du Turkestan
Otomela phoenicuroides,
Lanius senator,Pie-grièche à tête rousse
Lanius badius,
Leiothrix lutea,"Léiothrix jaune, Rossignol du Japon"
Sylvia lutea,
Helopsaltes fasciolatus,Locustelle fasciée
Acrocephalus fascioleatus,
Locustella fasciolata,
Locustella certhiola,Locustelle de Pallas
Motacilla certhiola,
Locustella fluviatilis,Locustelle fluviatile
Sylvia fluviatilis,
Locustella lanceolata,Locustelle lancéolée
Locustella lancelota,
Sylvia lanceolata,
Sylvia lancolata,
Locustella luscinioides,Locustelle luscinioïde
Sylvia luscinioides,
Locustella naevia,Locustelle tachetée
Motacilla naevia,
Megalurulus mariei,"Mégalure calédonienne, Fauvette calédonienne"
Megalurulus mariae,
Foulehaio carunculatus,Méliphage foulehaio
Certhia carunculata,
Foulehaio carunculata,
Glycifohia undulata,"Méliphage barré, Grive perlée"
Certhia undulata,
Gliciphila undulata,
Phylidonyris undulata,Méliphage barré
Phylidonyris undulatus,
Gymnomyza aubryana,"Méliphage toulou, Méliphage noir"
Leptornis Aubryanus,
Lichmera incana,
Certhia incana,
Myzomela caledonica,"Sucrier écarlate, Rouge-gorge, Colibri"
Myzomela cardinalis,
Certhia Cardinalis,
Philemon diemenensis,"Polochion moine, Polochon moine, Grive moine"
Tropidorhynchus diemenensis,
Allenia fusca,Moqueur grivotte
Margarops fuscus,
Muscicapa fusca,
Cinclocerthia gutturalis,Trembleur gris
Ramphocinclus gutturalis,
Cinclocerthia ruficauda,"Moqueur trembleur, Trembleur brun, Cocobino, Grive trembleuse"
Stenorhynchus ruficauda,
Ramphocinclus tremulus,
Dumetella carolinensis,Moqueur chat
Musicapa caroliniensis,
Margarops fuscatus,Moqueur corossol
Turdus fuscatus,
Turdus densirostris,
Mimus gilvus,"Moqueur des savanes, Grive des savanes, Moquia"
Turdus gilvus,
Mimus polyglottos,Moqueur polyglotte
Turdus polyglottos,
Ramphocinclus brachyurus,Moqueur gorge blanche
Turdus brachyurus,
Toxostoma rufum,Moqueur roux
Turdus rufus,
Lamprospiza melanoleuca,Tangara noir et blanc
Saltator melanoleucus,
Clytorhynchus pachycephaloides,Monarque brun
Clytorhynchus vitiensis,Monarque des Fidji
Myiolestes vitiensis,
Myiolestes fortunae,
Myiagra caledonica,Monarque mélanésien
Myiagra perspicillata,
Myiagra intermedia,
Myiagra luguieri,
Pomarea fluxa,Monarque de Eiao
Pomarea iphis,Monarque Iphis
Pomarea maupitiensis,Monarque de Maupiti
Muscicapa maupitiensis,
Muscicapa pomarea,
Pomarea pomarea,Monarque de Maupiti
Pomarea mendozae,Monarque marquisien
Monarcha Mendozae,
Pomarea mira,Monarque de Ua Pou
Pomarea nigra,Monarque de Tahiti
Muscicapa nigra,
Pomarea nukuhivae,Monarque de Nuku Hiva
Pomarea whitneyi,Monarque de Fatu Hiva
Terpsiphone bourbonnensis,"Gobe-mouches de Paradis, Tersiphone de Bourbon, Oiseau la vierge, Chakouat"
Muscicapa bourbonnensis,
Terpsiphone mutata,Moucherolle
Muscicapa mutata,
Tchitrea pretiosa,
Anthus campestris,Pipit rousseline
Alauda campestris,
Anthus cervinus,Pipit à gorge rousse
Anthus rufogularis,
Motacilla cervina,
Anthus godlewskii,Pipit de Godlewski
Agrodoma godlewskii,
Anthus gustavi,Pipit de la Petchora
Anthus hodgsoni,Pipit à dos olive
Anthus lutescens,Pipit jaunâtre
Anthus petrosus,Pipit maritime
Alauda petrosa,
Alauda obscura,
Anthus obscurus,
Anthus littoralis,
Anthus pratensis,Pipit farlouse
Alauda pratensis,
Anthus richardi,Pipit de Richard
Alauda novaeseelandiae,
Anthus novaeseelandiae,Pipit de Richard
Anthus rubescens,Pipit farlousane
Alauda Rubescens,
Anthus spinoletta,Pipit spioncelle
Alauda spinoletta,
Anthus trivialis,Pipit des arbres
Alauda trivialis,
Motacilla alba,Bergeronnette grise
Motacilla subpersonata,
Motacilla yarelli,
Motacilla yarrellii,Bergeronnette de Yarrell
Motacilla cinerea,Bergeronnette des ruisseaux
Motacilla caspica,
Parus caspicus,
Motacilla citreola,Bergeronnette citrine
Budytes citreolus,
Motacilla flava,Bergeronnette printanière
Budytes flavus,
Budytes rayi,
Budytes Beema,
Motacilla cinereocapilla,
Motacilla feldegg,
Budytes flavissima,
Motacilla flavissima,
Motacilla thunbergi,
Motacilla lugens,Bergeronnette lugubre
Motacilla tschutschensis,Bergeronnette orientale
Cercotrichas galactotes,Agrobate roux
Agrobates galactotes,
Erythropygia galactotes,
Sylvia galactotes,
Erithacus rubecula,Rougegorge familier
Motacilla rubecula,
Ficedula albicollis,Gobemouche à collier
Muscicapa albicollis,
Ficedula hypoleuca,Gobemouche noir
Motacilla hypoleuca,
Muscicapa hypoleuca,
Ficedula narcissina,Gobemouche narcisse
Muscicapa narcissina,
Musticapa narcissina,
Ficedula parva,"Gobemouche nain, Gobemouche rougeâtre"
Muscicapa parva,
Ficedula semitorquata,"Gobe-mouche à demi-collier, Gobemouche à semi collier"
Muscicapa semitorquata,
Luscinia calliope,"Rossignol calliope, Calliope sibérienne"
Calliope calliope,
Erithacus calliope,
Motacilla caliope,
Luscinia luscinia,Rossignol progné
Erithacus luscinia,
Motacilla luscinia,
Luscinia megarhynchos,Rossignol philomèle
Erithacus megarhynchos,
Luscinia svecica,Gorgebleue à miroir
Cyanecula svecica,
Motacilla svecica,
Sylvia Cyanecula,
Monticola saxatilis,"Monticole de roche, Merle de roche"
Turdus saxatilis,
Monticola solitarius,"Monticole bleu, Merle bleu"
Turdus solitarius,
Muscicapa striata,Gobemouche gris
Motacilla striata,
Muscicapa tyrrhenica,"Gobemouche tyrrhénien, Gobemouche méditerranéen"
Oenanthe deserti,Traquet du désert
Oenanthe desertii,
Saxicola deserti,
Oenanthe hispanica,Traquet oreillard
Motacilla hispanica,
Oenanthe isabellina,Traquet isabelle
Saxicola isabellina,
Oenanthe leucopyga,Traquet à tête blanche
Vitiflora leucopyga,
Oenanthe leucura,Traquet rieur
Turdus leucurus,
Oenanthe melanoleuca,Traquet noir et blanc
Muscicapa melanoleuca,
Oenanthe oenanthe,Traquet motteux
Motacilla oeanthe,
Motacilla leucorhoa,
Oenanthe pleschanka,Traquet pie
Motacilla leucomela,
Motacilla pleschanka,
Oenanthe leucomela,
Oenanthe xanthoprymna,"Traquet kurde, Traquet à queue rousse, Traquet de Perse"
Saxicola xanthoprymna,
Phoenicurus moussieri,Rougequeue de Moussier
Erythacus moussieri,
Phoenicurus ochruros,Rougequeue noir
Motacilla gibraltariensis,
Motacilla ochruros,
Phoenicurus phoenicurus,Rougequeue à front blanc
Motacilla phoenicurus,
Saxicola maurus,"Tarier de Sibérie, Tarier oriental"
Muscicapa maura,
Saxicola maura,
Saxicola rubetra,"Tarier des prés, Traquet tarier"
Motacilla rubetra,
Saxicola rubicola,Tarier pâtre
Motacilla rubicola,
Saxicola torquata,
Saxicola torquatus,"Tarier pâtre, Traquet pâtre"
Saxicola tectes,"Traquet de la Réunion, Tarier de la Réunion"
Muscicapa tectes,
Tarsiger cyanurus,"Robin à flancs roux, Rossignol à flancs roux"
Erithacus cyanurus,
Motacilla cyanurus,
Cinnyris coquerellii,Souimanga de Mayotte
Nectarinia coquerellii,
Myiobius barbatus,Moucherolle barbichon
Muscicapa barbata,
Onychorhynchus coronatus,"Porte-éventail roi, Moucherolle royal"
Muscicapa coronata,
Oriolus oriolus,"Loriot d'Europe, Loriot jaune"
Coracias oriolus,
Oriolus galbula,
Oxyruncus cristatus,Oxyrhynque huppé
Oxyrhyncus cristatus,
Oxyrhamphus hypoglaucus,
Pachycephala caledonica,Sourd
Muscicapa caledonica,
Pachycephala morariensis,
Pachycephala chlorura,Siffleur mélanésien
Pachycephala littayei,
Pachycephala rufiventris,
Sylvia rufiventris,
Muscicapa xanthetraea,
Pachycephala assimilis,
Panurus biarmicus,"Panure à moustaches, Mésange à moustaches"
Parus biarmicus,
Cyanistes caeruleus,Mésange bleue
Parus caeruleus,
Cyanistes cyanus,Mésange azurée
Parus cyanus,
Lophophanes cristatus,Mésange huppée
Parus cristatus,
Parus major,Mésange charbonnière
Parus corsus,
Periparus ater,Mésange noire
Parus ater,
Parus sardus,
Poecile atricapillus,"Mésange boréale, Mésange à tête noire"
Parus atricapillus,
Poecile hudsonicus,Mésange à tête brune
Parus hudsonicus,
Poecile montanus,Mésange boréale
Parus montanus,
Parus rhenanus,
Poecile palustris,Mésange nonnette
Parus palustris,
Cardellina canadensis,Paruline du Canada
Muscicapa canadensis,
Wilsonia canadensis,
Cardellina pusilla,Paruline à calotte noire
Muscicapa pusilla,
Wilsonia pusilla,
Geothlypis aequinoctialis,Paruline équatoriale
Motacilla aequinoctialis,
Geothlypis formosa,Paruline du Kentucky
Oporornis formosus,
Sylvia formosa,
Geothlypis philadelphia,Paruline triste
Oporornis philadelphia,
Sylvia Philadelphia,
Geothlypis trichas,Paruline masquée
Turdus Trichas,
Helmitheros vermivorus,Paruline vermivore
Helmitheros vermivorum,
Motacilla vermivora,
Leiothlypis celata,"Sylvette verdâtre, Fauvette verdâtre"
Oreothlypis celata,
Sylvia celata,
Vermivora celata,
Leiothlypis peregrina,"Paruline obscure, Sylvette obscure"
Oreothlypis peregrina,
Sylvia peregrina,
Vermivora peregrina,
Leiothlypis ruficapilla,Paruline à joues grises
Oreothlypis ruficapilla,
Sylvia ruficapilla,
Vermivora ruficapilla,
Mniotilta varia,"Paruline noire et blanche, Sylvette noire et blanche"
Motacilla varia,
Myiothlypis rivularis,Paruline des rives
Basileuterus rivularis,
Muscicapa rivularis,
Phaeothlypis rivularis,
Basileuterus mesoleucus,
Oporornis agilis,Paruline à gorge grise
Sylvia agilis,
Parkesia motacilla,Paruline hochequeue
Seiurus motacilla,
Turdus motacilla,
Parkesia noveboracensis,"Paruline des ruisseaux, Sylvette des ruisseaux"
Motacilla noveboracensis,
Seiurus noveboracensis,Paruline des ruisseaux
Protonotaria citrea,"Sylvette orangée, Paruline orangée"
Motacilla citrea,
Seiurus aurocapilla,"Paruline couronnée, Sylvette couronnée"
Motacilla aurocapilla,
Seiurus aurocapillus,
Setophaga americana,"Paruline à collier, Sylvette parula"
Parula americana,
Parus americanus,
Setophaga caerulescens,Paruline bleue
Dendroica caerulescens,
Motacilla caerulescens,
Setophaga castanea,Paruline à poitrine baie
Dendroica castanea,
Sylvia castanea,
Setophaga cerulea,Paruline azurée
Dendroica cerulea,
Sylvia cerulea,
Setophaga citrina,Paruline à capuchon
Muscicapa citrina,
Wilsonia citrina,
Setophaga coronata,Paruline à croupion jaune
Dendroica coronata,
Motacilla coronata,
Setophaga delicata,Paruline de Sainte-Lucie
Dendroica delicata,
Setophaga discolor,"Sylvette à moustache, Paruline des prés"
Dendroica discolor,
Sylvia discolor,
Setophaga dominica,"Sylvette à gorge jaune, Paruline à gorge jaune"
Dendroica dominica,
Motacilla dominica,
Setophaga fusca,Paruline à gorge orangée
Dendroica fusca,Paruline à gorge orangée
Motacilla fusca,
Setophaga magnolia,Paruline à tête cendrée
Dendroica magnolia,
Sylvia magnolia,
Setophaga palmarum,Paruline à couronne rousse
Dendroica palmarum,
Motacilla palmarum,
Setophaga pensylvanica,Paruline à flancs marron
Dendroica pensylvanica,
Motacilla pensylvanica,
Setophaga petechia,Paruline jaune
Dendroica petechia,Paruline jaune
Motacilla petechia,
Motacilla ruficapilla,
Setophaga pinus,Paruline des pins
Certhia pinus,
Dendroica pinus,
Setophaga pitiayumi,Paruline à joues noires
Parula pitiayumi,Paruline à joues noires
Sylvia pitiayumi,
Setophaga plumbea,"Sylvette de Guadeloupe, Paruline caféiette"
Dendroeca plumbea,
Dendroica plumbea,
Setophaga ruticilla,"Paruline flamboyante, Sylvette flamboyante"
Motacilla ruticilla,
Setophaga striata,"Paruline rayée, Sylvette rayée"
Dendroica striata,Paruline rayée
Setophaga tigrina,Paruline tigrée
Dendroica tigrina,
Motacilla tigrina,
Setophaga virens,Paruline à gorge noire
Dendroica virens,
Motacilla virens,
Vermivora cyanoptera,Paruline à ailes bleues
Certhia cyanoptera,
Vermivora pinus,
Arremon taciturnus,Tohi silencieux
Tanagra taciturna,
