species,vernacularName_fr
Anser fabilis,
Anser indicus,Oie à tête barrée
Anas indicus,
Eulabeia indica,
Branta bernicla,Bernache cravant
Anas bernicla,
Anas hrota,
Branta hrota,
Anser nigricans,
Branta nigricans,
Branta canadensis,Bernache du Canada
Anas canadensis,
Branta hutchinsii,Bernache de Hutchins
Anser Hutchinsii,
Branta leucopsis,Bernache nonnette
Anas leucopsis,
Branta ruficollis,Bernache à cou roux
Anser ruficollis,
Rufibrenta ruficollis,
Coscoroba coscoroba,Coscoroba blanc
Anas coscoroba,
Cygnus atratus,Cygne noir
Anas atrata,
Cygnus columbianus,Cygne de Bewick
Anas Columbianus,
Cygnus colombianus,
Olor columbianus,
Cygnus bewickii,Cygne de Bewick
Cygnus cygnus,Cygne chanteur
Anas cygnus,
Olor cygnus,
Cygnus melancoryphus,Cygne à cou noir
Anas Melancoripha,
Anas Melanocoripha,
Cygnus olor,Cygne tuberculé
Anas olor,
Dendrocygna arborea,Dendrocygne des Antilles
Anas arborea,
Dendrocygna arcuata,Dendrocygne à lunules
Anas arcuata,
Dendrocygna autumnalis,Dendrocygne à ventre noir
Anas autumnalis,
Dendrocygna bicolor,Dendrocygne fauve
Anas bicolor,
Dendrocygna eytoni,Dendrocygne d'Eyton
Leptotarsis eytoni,
Dendrocygna viduata,Dendrocygne veuf
Anas viduata,
Cereopsis novaehollandiae,Céréopse cendré
Chenonetta jubata,Canard à crinière
Anas jubata,
Chloephaga picta,Ouette de Magellan
Anas picta,
Cyanochen cyanoptera,Ouette à ailes bleues
Bernicla cyanoptera,
Nomonyx dominicus,"Erismature routoutou, Canard masqué"
Anas dominica,
Oxyura dominica,
Oxyura jamaicensis,Érismature rousse
Anas jamaicensis,
Oxyura leucocephala,Érismature à tête blanche
Anas leucocephala,
Anhima cornuta,Kamichi cornu
Palamedea cornuta,
Upupa epops,Huppe fasciée
Aegotheles savesi,Egothèle calédonien
Aerodramus francicus,Salangane des Mascareignes
Collocalia francica,
Hirundo francica,
Aerodramus leucophaeus,Salangane de la Société
Collocalia cinerea,
Collocalia leucophaea,
Macropteryx leucophaeus,
Aerodramus ocistus,Salangane des Marquises
Collocalia ocista,
Aerodramus spodiopygius,Salangane à croupion blanc
Collocalia spodiopygia,
Macropteryx spodiopygius,
Collocalia leucopygia,
Aerodramus vanikorensis,Salangane de Vanikoro
Collocalia vanikorensis,
Hirundo vanikorensis,
Aeronautes montivagus,Martinet montagnard
Cypselus montivagus,
Duidia tatei,
Apus affinis,Martinet des maisons
Cypselus affinis,
Apus apus,Martinet noir
Cypselus apus,
Hirundo Apus,
Micropus apus,
Apus balstoni,Martinet malgache
Cypselus balstoni,
Cypselus mayottensis,
Apus barbatus,Martinet
Cypselus barbatus,
Apus caffer,Martinet cafre
Cypselus caffer,
Apus pallidus,Martinet pâle
Cypselus pallidus,
Chaetura brachyura,Martinet polioure
Acanthylis brachyura,
Chaetura chapmani,Martinet de Chapman
Chaetura martinica,"Martinet chiquesol, Petit martinet noir, Hirondelle"
Hirundo martinica,
Chaetura meridionalis,Martinet de Sick
Chaetura andrei,
Chaetura pelagica,Martinet ramoneur
Hirundo Pelagica,
Chaetura spinicaudus,Martinet spinicaude
Cypselus spinicaudus,
Chaetura vauxi,Martinet de Vaux
Cypcelus Vauxi,
Collocalia uropygialis,Salangane des Nouvelles-Hébrides
Cypseloides cryptus,Martinet à menton blanc
Cypseloides niger,Martinet sombre
Hirundo nigra,
Nephoecetes niger,
Cypsiurus gracilis,
Cypselus gracilis,
Cypsiurus griveaudi,
Cypsiurus parvus,Martinet des palmes
Cypselus parvus,
Hirundapus caudacutus,Martinet épineux
Hirundo caudacuta,
Panyptila cayennensis,Martinet de Cayenne
Hirundo cayennensis,
Streptoprocne zonaris,Martinet à collier blanc
Hirundo zonaris,
Hemiprocne albicincta,
Tachornis squamata,Martinet claudia
Cypselus squamatus,
Reinarda squamata,
Tachymarptis melba,"Martinet à ventre blanc, Martinet alpin"
Apus melba,
Hirundo melba,
Zoonavena grandidieri,Martinet de Grandidier
Chaetura grandidieri,
Antrostomus carolinensis,Engoulevent de Caroline
Caprimulgus carolinensis,
Antrostomus rufus,Engoulevent roux
Caprimulgus rufus,
Antrostomus vociferus,Engoulevent bois-pourri
Caprimulgus vociferus,
Caprimulgus europaeus,Engoulevent d'Europe
Caprimulgus ruficollis,Engoulevent à collier roux
Chordeiles acutipennis,Engoulevent minime
Caprimulgus acutipennis,
Chordeiles gundlachii,Engoulevent piramidig
Chordeiles minor,Engoulevent d'Amérique
Caprimulgus minor,
Chordeiles nacunda,Engoulevent nacunda
Caprimulgus nacunda,
Podager nacunda,Engoulevent nacunda
Eurostopodus mystacalis,Engoulevent moustac
Caprimulgus mystacalis,
Eurostopodus exul,Engoulevent de Nouvelle-Calédonie
Hydropsalis cayennensis,Engoulevent coré
Caprimulgus cayennensis,"Engoulevent coré, Engoulevent à queue blanche, Cohé"
Hydropsalis climacocerca,Engoulevent trifide
Caprimulgus climacocercus,
Hydropsalis maculicaudus,Engoulevent à queue étoilée
Caprimulgus maculicaudus,Engoulevent à queue étoilée
Stenopsis maculicaudus,
Lurocalis semitorquatus,Engoulevent à queue courte
Caprimulgus semitorquatus,
Nyctidromus albicollis,Engoulevent pauraqué
Caprimulgus albicollis,
Nyctipolus nigrescens,Engoulevent noirâtre
Caprimulgus nigrescens,Engoulevent noirâtre
Hydropsalis nigrescens,
Nyctiprogne leucopyga,Engoulevent leucopyge
Caprimulgus leucopygus,
Setopagis maculosa,Engoulevent de Guyane
Caprimulgus maculosus,Engoulevent de Guyane
Nyctipolus maculosus,
Nyctibius aethereus,Ibijau à longue queue
Caprimulgus aethereus,
Caprimulgus longicaudatus,
Nyctibius bracteatus,Ibijau roux
Nyctibius grandis,Grand Ibijau
Caprimulgus grandis,
Nyctibius griseus,Ibijau gris
Caprimulgus griseus,
Nyctibius leucopterus,Ibijau à ailes blanches
Caprimulgus leucopterus,
Steatornis caripensis,Guacharo des cavernes
Amazilia fimbriata,Ariane de Linné
Trochilus fimbriatus,
Amazilia leucogaster,Ariane vert-doré
Trochilus leucogaster,
Amazilia viridigaster,Ariane à ventre vert
Trochilus viridigaster,
Amazilia cupreicauda,Ariane à queue cuivrée
Saucerottia cupreicauda,
Anthracothorax nigricollis,Mango à cravate noire
Trochilus nigricollis,
Anthracothorax viridigula,Mango à cravate verte
Trochilus viridigula,
Archilochus colubris,Colibri à gorge rubis
Trochilus colubris,
Avocettula recurvirostris,"Colibri avocette, Mango avocette"
Anthracothorax recurvirostris,
Trochilus recurvirostris,
Calliphlox amethystina,Colibri améthyste
Trochilus amethystinus,
Campylopterus largipennis,Campyloptère à ventre gris
Trochilus largipennis,
Chlorestes notata,"Colibri à menton bleu, Émeraude à menton bleu"
Chlorestes notatus,Colibri à menton bleu
Chlorostilbon notatus,
Trochilus notatus,
Chlorostilbon mellisugus,Émeraude orvert
Trochilus mellisugus,
Chrysolampis mosquitus,Colibri rubis-topaze
Trochilus mosquitus,
Chrysuronia brevirostris,Ariane à poitrine blanche
Amazilia brevirostris,
Ornismya brevirostris,
Colibri delphinae,Colibri de Delphine
Ornismya Delphinae,
Cyanophaia bicolor,Colibri à tête bleue
Trochilus bicolor,
Discosura longicaudus,Coquette à raquettes
Discosura longicauda,
Trochilus longicaudus,
Eulampis holosericeus,"Colibri falle-vert, Falle-vert"
Sericotes holosericeus,
Trochilus holosericeus,
Eulampis jugularis,"Madère, Colibri madère"
Trochilus jugularis,
Eupetomena macroura,Colibri hirondelle
Trochilus macrourus,
Florisuga mellivora,Colibri jacobin
Trochilus mellivorus,
Glaucis hirsutus,Ermite hirsute
Glaucis hirsuta,
Trochilus hirsutus,
Heliomaster longirostris,Colibri corinne
Trochilus longirostris,
Heliothryx auritus,Colibri oreillard
Heliothryx aurita,
Trochilus auritus,
Hylocharis cyanus,Saphir azuré
Trochilus cyanus,
Hylocharis sapphirina,"Saphir à gorge rousse, Ariane à gorge rousse"
Trochilus sapphirinus,
Lophornis ornatus,Coquette huppe-col
Trochilus ornatus,
Orthorhyncus cristatus,Colibri huppé
Trochilus cristatus,
Trochilus exilis,
Phaethornis augusti,Ermite d'Auguste
Trochilus augusti,
Phaethornis bourcieri,Ermite de Bourcier
Trochilus Bourcieri,
Phaethornis longuemareus,Ermite nain
Trochilus Longuemareus,
Phaethornis malaris,Ermite à long bec
Trochilus malaris,
Phaethornis ruber,Ermite roussâtre
Trochilus ruber,
Phaethornis superciliosus,Ermite à brins blancs
Trochilus superciliosus,
Polytmus guainumbi,Colibri guaïnumbi
Trochilus guainumbi,
Polytmus theresiae,Colibri tout-vert
Ornismya theresiae,
Selasphorus rufus,
Trochilus rufus,
Thalurania furcata,Dryade à queue fourchue
Trochilus furcatus,
Threnetes leucurus,
Trochilus leucurus,
Threnetes niger,Ermite d'Antonia
Trochilus niger,
Topaza pella,Colibri topaze
Trochilus pella,
Alca torda,"Pingouin torda, Petit pingouin"
Alle alle,Mergule nain
Alca alle,
Plautus alle,
Plotus alle,
Cepphus grylle,Guillemot à miroir
Alca grylle,
Fratercula arctica,Macareux moine
Alca arctica,
Pinguinus impennis,Grand Pingouin
Alca impennis,
Uria aalge,Guillemot de Troïl
Colymbus aalge,
Uria troile,
Uria lomvia,Guillemot de Brünnich
Alca lomvia,
Burhinus oedicnemus,Oedicnème criard
Charadrius oedicnemus,
Esacus magnirostris,Oedicnème des récifs
Burhinus giganteus,
Esacus giganteus,
Esacus neglectus,Oedicnème des récifs
Oedicnemus magnirostris,
Charadrius alexandrinus,"Gravelot à collier interrompu, Gravelot de Kent"
Charadrius altifrons,
Anarhynchus atrifrons,
Charadrius asiaticus,"Gravelot asiatique, Pluvier asiatique"
Pluvialis asiaticus,
Charadrius bicinctus,Pluvier à double collier
Charadrius collaris,"Pluvier d'Azara, Gravelot d’Azara"
Charadrius dubius,Petit Gravelot
Charadrius curonicus,
Chardrius dubius,
Charadrius hiaticula,Grand Gravelot
Charadrius leschenaultii,"Gravelot de Leschenault, Pluvier de Leschenault"
Anarhynchus leschenaultii,
Charadrius geoffroyi,
Charadrius marginatus,Pluvier à front blanc
Anarhynchus marginatus,
Charadrius melodus,"Gravelot siffleur, Pluvier siffleur"
Charadrius mongolus,"Gravelot mongol, Pluvier mongol, Pluvier de Mongolie"
Charadrius nivosus,Pluvier neigeux
Aegialitis nivosa,
Charadrius pecuarius,Gravelot pâtre
Charadrius semipalmatus,"Gravelot semipalmé, Pluvier semipalmé"
Charadrius tricollaris,Pluvier à triple collier
Charadrius veredus,Pluvier oriental
Charadrius vociferus,"Gravelot kildir, Pluvier kildir"
Charadrius wilsonia,"Pluvier de Wilson, Gravelot de Wilson, Collier"
Eudromias morinellus,"Guignard d'Eurasie, Pluvier guignard"
Charadrius morinellus,
Pluvialis apricaria,Pluvier doré
Charadrius apricarius,
Pluvialis dominica,"Pluvier bronzé, Pluvier doré"
Charadrius dominicius,
